Home Team Initials,Away Team Initials,weight,HomeGoalTotal
URS,AUT,1,43
FRG,TCH,2,99
ARG,NIR,1,111
SWE,HUN,1,53
SWE,WAL,1,53
BRA,URS,2,180
FRG,NIR,1,99
HUN,MEX,1,73
PAR,YUG,1,14
FRA,SCO,1,68
ENG,AUT,1,54
TCH,ARG,1,27
WAL,HUN,1,2
BRA,WAL,1,180
SWE,URS,1,53
FRA,NIR,2,68
SWE,FRG,1,53
BRA,FRA,4,180
FRA,FRG,2,68
URU,COL,1,62
ARG,BUL,3,111
CHI,SUI,2,25
URS,YUG,1,43
TCH,ESP,1,27
HUN,ENG,1,73
FRG,ITA,2,99
YUG,URU,1,42
ENG,ARG,2,54
CHI,ITA,1,25
URS,COL,1,43
ESP,MEX,1,50
HUN,BUL,2,73
FRG,SUI,2,99
URS,URU,1,43
HUN,ARG,1,73
FRG,CHI,3,99
YUG,COL,2,42
MEX,TCH,1,22
ENG,BUL,1,54
ITA,SUI,1,99
CHI,URS,1,25
TCH,HUN,1,27
YUG,FRG,2,42
TCH,YUG,1,27
BRA,CHI,5,180
CHI,YUG,1,25
ENG,URU,1,54
BRA,BUL,1,180
URS,PRK,1,43
POR,HUN,1,36
ARG,ESP,1,111
ITA,CHI,2,99
URU,FRA,2,62
ESP,SUI,3,50
PRK,CHI,1,2
POR,BUL,1,36
